race_id,race_number,race_name,competition_id,competition_name,country,class_name,grade,tempo,distance_m,track_status,start_time_iso,field_size,active_field_size,selection_id,runner_number,runner_name,draw_number,jockey,trainer,trainer_location,weight_kg,age,sex,speed_rating,dry_rating,wet_rating,win_percentage,place_percentage,prize_money,career_starts,career_wins,career_seconds,career_thirds,good_starts,good_wins,soft_starts,soft_wins,heavy_starts,heavy_wins,distance_starts,distance_wins,track_starts,track_wins,first_up_starts,first_up_wins,second_up_starts,second_up_wins,horse_jockey_starts,horse_jockey_wins,last_six,form_fig,expected_settling_position,recent_runs_count,recent_wins,recent_places,recent_avg_place,recent_best_place,recent_avg_place_3,recent_avg_place_5,recent_win_rate_5,recent_top3_rate_5,recent_avg_margin,recent_best_margin,recent_avg_margin_3,recent_avg_starting_price,recent_same_distance_runs,recent_same_track_runs,recent_same_condition_runs,recent_days_since_last_run,open_price,fluc1,fluc2,sp_starting_price,live_price,price_quality,finish_place,result_code,status,is_winner,top3_mask,is_duplicate_runner,has_valid_live_price,race_total_runners,race_priced_runners,price_coverage,is_valid_field_size,has_valid_result_labels,condition_rating,suitability_score,recent_form_score,connection_score,market_rank,price_band,distance_band,has_sparse_recent_form,model_score,model_rank,raw_model_prob,market_implied_prob,model_prob,edge,edge_pct,price_vs_sp,stake,settlement_price,profit,profit_net
10146977,6,R6 Sportsbet Hcp (58),317,Darwin,Australia,Horses - Aus/NZ,,Not Available,1000,Good (3),2026-02-14T07:32:00+00:00,8,7,1164730579,4,Mlinzi,5,Deborah Barton,Philip Cole,Darwin,58.0,4,m,0.0,89.0,89.0,10.0,30.0,32550.0,10.0,1.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,52421x,52421x,Backmarker,6,1,3,3.6666666666666665,1.0,2.3333333333333335,2.8,0.2,0.6,4.583333333333333,0.2,1.9333333333333333,16.333333333333332,4,0,6,112.0,4.0,11.0,10.0,,10.0,FLUC2,5,L,finished,0,0,False,True,7,7,1.0,True,True,89.0,0.08095238095238096,0.33714285714285713,1.0,4.0,9-12,sprint,False,0.5338024744271102,1.0,0.1633665622222976,0.1,0.1633665622222976,0.06336656222229758,6.336656222229759,,1.0,10.0,-1.0,-1.0
10168666,5,R5 Juice Signs (Bm75),208,Ashburton,New Zealand,Horses - Aus/NZ,,Normal,1200,Soft (6),2026-02-20T01:12:00+00:00,13,4,1166883419,9,Second Chance,5,Leah Hemi,Anna Furlong,Riccarton Park,57.5,5,m,23.0,93.0,93.0,30.77,46.15,55205.0,13.0,4.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,11.0,4.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,410133,410133,,6,2,4,3.8333333333333335,1.0,2.3333333333333335,3.8,0.4,0.8,2.6333333333333333,0.2,1.2,10.4,6,1,3,13.0,7.5,10.0,11.0,10.0,11.0,FLUC2,2,P,finished,0,1,False,True,4,4,1.0,True,True,93.0,0.5656565656565656,0.4760344827586207,0.0,2.0,9-12,sprint,False,0.5859458114429945,1.0,0.2759720057317185,0.09090909090909091,0.2759720057317185,0.18506291482262757,18.506291482262757,-1.0,1.0,11.0,-1.0,-1.0
10172119,4,R4 Eagle Technology Uncle Remus Stakes,340,Ellerslie,New Zealand,Horses - Aus/NZ,,Normal,1400,Soft (5),2026-02-21T01:09:00+00:00,13,4,1167229600,6,Panther,6,Craig Grylls,L O'sullivan & A Scott,Matamata,57.0,3,c,61.0,79.0,79.0,33.33,100.0,27010.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2x12,2x12,,3,1,3,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.0,1.7666666666666666,1.3,1.7666666666666666,4.066666666666666,0,1,3,21.0,7.0,7.0,6.5,7.0,6.5,FLUC2,2,P,finished,0,1,False,True,4,4,1.0,True,True,79.0,0.1111111111111111,0.5458333333333333,0.0,2.0,6-9,middle,False,0.4701955206964206,2.0,0.23893785954101562,0.15384615384615385,0.23893785954101562,0.08509170569486177,8.509170569486177,0.5,1.0,6.5,-1.0,-1.0
10172146,7,R7 Mad Butcher Wanganui Mdn,661,Wanganui,New Zealand,Horses - Aus/NZ,,Slow,2060,Soft (5),2026-02-22T03:02:00+00:00,12,4,1167233033,7,Ocean Melody,10,Bruno Queiroz,Ms L Latta,Awapuni,56.5,4,m,56.0,99.0,99.0,0.0,14.29,3835.0,7.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,57x773,57x773,,6,0,1,6.333333333333333,3.0,5.666666666666667,5.8,0.0,0.2,6.316666666666666,4.2,4.633333333333334,20.933333333333334,1,2,4,14.0,6.0,5.5,5.0,5.5,5.0,FLUC2,3,P,finished,0,1,False,True,4,4,1.0,True,True,99.0,0.0,0.10295454545454547,0.0,2.0,3-6,staying,False,0.38747036843663796,2.0,0.2528612762662861,0.2,0.2528612762662861,0.05286127626628606,5.286127626628606,0.5,1.0,5.0,-1.0,-1.0
10172285,4,R4 Browns Sawdust & Shavings (Bm78),310,Cranbourne,Australia,Horses - Aus/NZ,,Fast,1000,Good (3),2026-02-20T08:45:00+00:00,6,6,1167251415,5,Tookay Pete,6,Emily Pozman,Melissa Page,Seymour,56.5,6,g,43.0,87.0,87.0,22.73,54.55,128395.0,22.0,5.0,4.0,3.0,18.0,5.0,3.0,0.0,0.0,0.0,16.0,3.0,2.0,1.0,3.0,0.0,3.0,0.0,5.0,2.0,021121,021121,Midfield,6,3,5,2.8333333333333335,1.0,1.3333333333333333,1.4,0.6,1.0,1.6833333333333333,0.2,1.4000000000000001,7.533333333333334,5,2,6,16.0,7.5,9.0,10.0,11.0,10.0,FLUC2,3,P,finished,0,1,False,True,6,6,1.0,True,True,87.0,0.32175925925925924,0.643416149068323,0.4,5.0,9-12,sprint,False,0.6068458376661255,1.0,0.18581346892988762,0.1,0.18581346892988762,0.08581346892988762,8.581346892988762,1.0,1.0,10.0,-1.0,-1.0
10172307,7,R7 Henley Homes Futurity Stakes,279,Caulfield,Australia,Horses - Aus/NZ,,Fast,1400,Good (4),2026-02-21T04:40:00+00:00,9,8,1167253054,5,Watch Me Rock,1,William Pike,M W Walker,Cranbourne,59.0,5,g,60.0,92.0,92.0,55.0,90.0,1868945.0,20.0,11.0,5.0,2.0,16.0,8.0,4.0,3.0,0.0,0.0,8.0,4.0,0.0,0.0,5.0,2.0,5.0,3.0,17.0,10.0,1x3112,1x3112,Off Pace,6,3,6,1.6666666666666667,1.0,1.6666666666666667,1.4,0.6,1.0,0.6166666666666667,0.2,0.5666666666666667,14.0,2,0,6,12.0,13.0,13.0,12.0,,12.0,FLUC2,6,L,finished,0,0,False,True,8,8,1.0,True,True,92.0,0.3333333333333333,0.6525000000000001,0.5882352941176471,5.0,12-20,middle,False,0.6473568598877919,2.0,0.14467141612225137,0.08333333333333333,0.14467141612225137,0.061338082788918044,6.133808278891804,,1.0,12.0,-1.0,-1.0
10172313,8,R8 Kia Ora Hobartville Stakes,580,Rosehill,Australia,Horses - Aus/NZ,,Fast,1400,Good (4),2026-02-21T05:35:00+00:00,10,7,1167253786,4,Shangri La Boy,7,Tim Clark,G Waterhouse & A Bott,Randwick,56.5,3,c,100.0,90.0,90.0,50.0,100.0,732750.0,4.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3112x,3112x,Leader,6,4,5,2.0,1.0,2.6666666666666665,2.2,0.6,0.8,2.0,0.2,2.5,,1,2,6,15.0,10.0,10.0,9.5,,9.5,FLUC2,7,L,finished,0,0,False,True,7,7,1.0,True,True,90.0,0.8333333333333334,0.5709090909090909,0.0,4.0,9-12,middle,False,0.6581777383861442,2.0,0.15621858937124336,0.10526315789473684,0.15621858937124336,0.050955431476506524,5.095543147650653,,1.0,9.5,-1.0,-1.0
10176101,6,R6 Elegant Blinds Toowoomba (Bm65),635,Toowoomba,Australia,Horses - Aus/NZ,,Fast,1000,Good (4),2026-02-21T10:18:00+00:00,7,5,1167537049,4,Adalie,1,Nozi Tomizawa,Corey & Kylie Geran,Toowoomba,58.5,6,m,0.0,87.0,87.0,18.52,48.15,114160.0,27.0,5.0,5.0,3.0,15.0,1.0,9.0,3.0,1.0,1.0,9.0,2.0,6.0,2.0,4.0,0.0,4.0,2.0,7.0,2.0,719482,719482,Backmarker,6,1,2,5.166666666666667,1.0,4.666666666666667,4.8,0.2,0.4,5.15,0.8,5.3999999999999995,27.333333333333332,4,4,4,30.0,6.0,7.5,8.0,8.0,8.0,FLUC2,2,P,finished,0,1,False,True,5,5,1.0,True,True,87.0,0.2074074074074074,0.25079491255961844,0.2857142857142857,3.0,6-9,sprint,False,0.4560392408411967,2.0,0.20034019360611946,0.125,0.20034019360611946,0.07534019360611946,7.534019360611946,0.0,1.0,8.0,-1.0,-1.0
10176189,8,R8 Kimick Holdings (Bm64),696,Wyong,Australia,Horses - Aus/NZ,,Fast,1100,Good (4),2026-02-21T06:30:00+00:00,9,7,1167543847,5,Play My Song,7,Leeshelle Small,R P Northam,Scone,58.0,6,m,63.0,95.0,95.0,18.52,33.33,130175.0,27.0,5.0,4.0,0.0,14.0,3.0,10.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,6.0,1.0,5.0,3.0,211x41,211x41,Off Pace,6,3,4,2.1666666666666665,1.0,2.0,1.8,0.6,0.8,1.75,0.2,1.1666666666666667,5.0,5,0,4,21.0,14.0,11.0,10.0,11.0,10.0,FLUC2,2,P,finished,0,1,False,True,7,7,1.0,True,True,95.0,0.07142857142857142,0.5773684210526316,0.6,6.0,9-12,sprint,False,0.5849653816952806,1.0,0.15574622298058208,0.1,0.15574622298058208,0.05574622298058207,5.574622298058207,1.0,1.0,10.0,-1.0,-1.0
10179378,7,R7 Coolmore Championship Preview Hcp (C4),588,Scone,Australia,Horses - Aus/NZ,,Fast,1200,Soft (5),2026-02-24T06:15:00+00:00,12,8,1167955534,4,Great Idea,9,Anna Roper,Ben Blay,Muswellbrook,58.5,6,g,10.0,81.0,81.0,50.0,50.0,50575.0,6.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,51181x,51181x,Backmarker,6,4,4,2.6666666666666665,1.0,2.0,3.0,0.6,0.6,2.183333333333333,0.8,3.1666666666666665,4.6,1,1,2,11.0,23.0,11.0,12.0,,12.0,FLUC2,7,L,finished,0,0,False,True,8,8,1.0,True,True,81.0,0.27777777777777773,0.5109090909090909,1.0,5.0,12-20,sprint,False,0.5964449466376432,2.0,0.13432158253946194,0.08333333333333333,0.13432158253946194,0.050988249206128614,5.098824920612861,,1.0,12.0,-1.0,-1.0
10179546,4,R4 Queensland Hotels Association Hcp,577,Rockhampton,Australia,Horses - Aus/NZ,,Fast,1050,Soft (6),2026-02-24T05:27:00+00:00,8,7,1167973358,3,Krackacan,2,Natalea Summers,Darryl Johnston,Rockhampton,58.0,3,g,100.0,98.0,98.0,42.86,85.71,86400.0,7.0,3.0,3.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,x2215x,x2215x,Leader,6,2,4,2.5,1.0,3.3333333333333335,2.8,0.2,0.6,2.5666666666666664,0.2,2.3333333333333335,5.55,6,3,5,18.0,7.5,11.0,12.0,11.0,12.0,FLUC2,4,P,finished,0,0,False,True,7,7,1.0,True,True,98.0,0.5555555555555555,0.3374725274725275,1.0,5.0,12-20,sprint,False,0.6594695331622298,1.0,0.15836420397283985,0.08333333333333333,0.15836420397283985,0.07503087063950652,7.503087063950652,-1.0,1.0,12.0,-1.0,-1.0
10179547,5,R5 Australian Liquor Marketers (Bm65),577,Rockhampton,Australia,Horses - Aus/NZ,,Fast,1050,Soft (6),2026-02-24T06:04:00+00:00,8,6,1167973372,1,Keyboard,7,Mckenzie Apel,Darryl Johnston,Rockhampton,59.5,5,m,81.0,83.0,83.0,13.89,50.0,188555.0,36.0,5.0,7.0,6.0,28.0,3.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,543x42,543x42,Pace,6,0,3,3.5,2.0,3.0,3.2,0.0,0.6,2.3666666666666667,0.3,1.9333333333333333,16.0,6,1,1,17.0,9.5,10.0,11.0,,11.0,FLUC2,6,L,finished,0,0,False,True,6,6,1.0,True,True,83.0,0.1111111111111111,0.2508333333333333,0.0,5.0,9-12,sprint,False,0.3924763757063174,2.0,0.16755106619110355,0.09090909090909091,0.16755106619110355,0.07664197528201264,7.664197528201264,,1.0,11.0,-1.0,-1.0
10197480,3,R3 Maria Scott 3Yo,466,Matamata,New Zealand,Horses - Aus/NZ,,Fast,1600,Soft (6),2026-02-28T00:16:00+00:00,9,7,1169854628,1,Cease And Desist,5,Rory Hutchings,Mark Walker & Sam Bergerson,Matamata,57.0,3,c,57.0,96.0,96.0,20.0,40.0,19050.0,5.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,8x7219,8x7219,,5,1,2,5.4,1.0,4.0,5.4,0.2,0.4,6.4799999999999995,0.2,2.8000000000000003,7.133333333333333,2,1,3,17.0,8.5,11.0,10.0,11.0,10.0,FLUC2,3,P,finished,0,1,False,True,7,7,1.0,True,True,96.0,0.611111111111111,0.2534375,0.0,5.0,9-12,middle,False,0.539222613315999,2.0,0.16095769754675854,0.1,0.16095769754675854,0.06095769754675853,6.095769754675853,1.0,1.0,10.0,-1.0,-1.0
10201132,3,R3 Queensland Electrical Solutions (Bm70),635,Toowoomba,Australia,Horses - Aus/NZ,,Fast,1200,Good (4),2026-02-28T08:29:00+00:00,9,7,1170263722,4,Satay Chicken,4,Nozi Tomizawa,W Oakenfull,Inverell,59.5,7,g,8.0,99.0,99.0,18.52,55.56,141125.0,27.0,5.0,5.0,5.0,19.0,5.0,6.0,0.0,2.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,1.0,0.0,0.0,4x2202,4x2202,Backmarker,6,0,5,4.0,2.0,6.0,4.4,0.0,0.8,1.75,0.3,2.066666666666667,7.6,2,2,4,14.0,13.0,10.0,11.0,10.0,11.0,FLUC2,2,P,finished,0,1,False,True,7,7,1.0,True,True,99.0,0.2210526315789474,0.2914285714285714,0.0,4.0,9-12,sprint,False,0.4826432512284561,2.0,0.1497536122993766,0.09090909090909091,0.1497536122993766,0.058844521390285676,5.884452139028568,-1.0,1.0,11.0,-1.0,-1.0
10201133,6,R6 Claridge Racing Mdn Plate,635,Toowoomba,Australia,Horses - Aus/NZ,,Fast,1200,Good (4),2026-02-28T10:22:00+00:00,9,7,1170263880,7,Zouslayer,4,Dylan Turner,Jack Bruce,Deagon,58.0,4,g,91.0,100.0,100.0,0.0,0.0,1600.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6x9,6x9,Leader,5,0,0,6.2,5.0,6.666666666666667,6.2,0.0,0.0,8.76,4.4,9.1,3.8,1,0,2,9.0,4.8,10.0,11.0,,11.0,FLUC2,7,L,finished,0,0,False,True,7,7,1.0,True,True,100.0,0.0,0.040398550724637675,0.0,4.0,9-12,sprint,False,0.3666237187014865,1.0,0.1470011569195112,0.09090909090909091,0.1470011569195112,0.0560920660104203,5.60920660104203,,1.0,11.0,-1.0,-1.0
10201152,5,R5 Gc Bowls Club March 15Th Hcp (60),366,Gold Coast,Australia,Horses - Aus/NZ,,Fast,1000,Heavy (8),2026-02-28T05:29:00+00:00,11,7,1170265479,2,Enhance,8,Dylan Turner,Stephen McLean,Gold Coast,59.5,4,g,66.0,84.0,84.0,6.25,62.5,88400.0,16.0,1.0,8.0,1.0,5.0,0.0,8.0,1.0,1.0,0.0,5.0,1.0,3.0,1.0,4.0,1.0,4.0,0.0,1.0,1.0,x12240,x12240,Off Pace,6,1,4,3.5,1.0,5.333333333333333,3.8,0.2,0.6,2.8000000000000003,1.5,3.233333333333333,6.3999999999999995,4,3,1,27.0,10.0,10.0,11.0,,11.0,FLUC2,6,L,finished,0,0,False,True,7,7,1.0,True,True,84.0,0.17777777777777778,0.31701754385964914,1.0,5.0,9-12,sprint,False,0.5291649721975454,1.0,0.15701651714970255,0.09090909090909091,0.15701651714970255,0.06610742624061164,6.610742624061164,,1.0,11.0,-1.0,-1.0
10201168,8,R8 Ladbrokes Top 2/3/4 Betting (Bm62),584,Sale,Australia,Horses - Aus/NZ,,Fast,1112,Soft (6),2026-03-01T05:55:00+00:00,11,7,1170268618,2,Juice Box,2,Bailey Kinninmont,Ms R Kelly,Sale,61.0,7,m,88.0,90.0,90.0,17.24,41.38,224242.0,58.0,10.0,7.0,7.0,26.0,4.0,23.0,4.0,8.0,2.0,16.0,2.0,14.0,2.0,4.0,1.0,4.0,0.0,2.0,2.0,714109,714109,Leader,6,2,2,5.666666666666667,1.0,7.333333333333333,5.4,0.4,0.4,4.716666666666667,0.1,4.633333333333334,9.683333333333334,4,2,3,14.0,23.0,9.5,10.0,10.0,10.0,FLUC2,1,W,finished,1,1,False,True,7,7,1.0,True,True,90.0,0.1472567287784679,0.32050000000000006,1.0,4.0,9-12,sprint,False,0.5455704868494704,2.0,0.15557253077941272,0.1,0.15557253077941272,0.05557253077941271,5.5572530779412705,0.0,1.0,10.0,9.0,9.0
10201172,6,R6 Sale Mowers & Chainsaws (Bm62),584,Sale,Australia,Horses - Aus/NZ,,Normal,1427,Soft (6),2026-03-01T04:45:00+00:00,14,8,1170268869,10,Honey Maker,1,Luke Currie,Shawn Mathrick,Cranbourne,57.5,4,m,21.0,93.0,93.0,12.5,43.75,72765.0,16.0,2.0,1.0,4.0,10.0,1.0,5.0,1.0,1.0,0.0,5.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,311707,311707,Off Midfield,6,2,3,4.833333333333333,1.0,8.0,5.2,0.4,0.4,3.65,0.2,6.133333333333333,11.533333333333333,5,1,2,18.0,16.0,13.0,12.0,13.0,12.0,FLUC2,2,P,finished,0,1,False,True,8,8,1.0,True,True,93.0,0.20000000000000004,0.3223809523809524,1.0,5.0,12-20,middle,False,0.5663309495236462,2.0,0.13518686747759187,0.08333333333333333,0.13518686747759187,0.05185353414425854,5.185353414425855,1.0,1.0,12.0,-1.0,-1.0
10201243,4,R4 Ladbrokes Mega Multi (Bm62),355,Gatton,Australia,Horses - Aus/NZ,,Fast,1100,Soft (5),2026-03-01T04:50:00+00:00,8,5,1170283602,6,Captain Bull,7,Dylan Turner,L J Hatch,Toowoomba,58.5,3,g,49.0,76.0,76.0,100.0,100.0,22700.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,Midfield,3,2,2,2.0,1.0,2.0,2.0,0.6666666666666666,0.6666666666666666,2.1,1.0,2.1,3.4,1,1,1,35.0,13.0,9.0,9.5,9.0,9.5,FLUC2,1,W,finished,1,1,False,True,5,5,1.0,True,True,76.0,0.6666666666666666,0.5666666666666668,0.0,4.0,9-12,sprint,False,0.5745716777800836,2.0,0.20807081285556409,0.10526315789473684,0.20807081285556409,0.10280765496082725,10.280765496082726,-0.5,1.0,9.5,8.5,8.5
10204784,6,R6 Wests Illawarra Community Strong (Bm64),423,Kembla Grange,Australia,Horses - Aus/NZ,,Fast,1600,Heavy (9),2026-03-03T05:55:00+00:00,11,6,1170687487,5,Smart Cry,6,Heavelon Van Der Hoven,J C Coyle,Warwick Farm,58.0,4,m,9.0,93.0,93.0,33.33,33.33,39925.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,156x51,156x51,Backmarker,6,1,1,4.5,1.0,3.6666666666666665,4.4,0.2,0.2,3.1166666666666667,0.1,2.033333333333333,7.1,0,1,1,15.0,10.0,8.5,9.0,,9.0,FLUC2,6,L,finished,0,0,False,True,6,6,1.0,True,True,93.0,0.3333333333333333,0.19941558441558443,1.0,5.0,9-12,middle,False,0.5575288012747297,1.0,0.18696830724093402,0.1111111111111111,0.18696830724093402,0.07585719612982292,7.585719612982292,,1.0,9.0,-1.0,-1.0
10218838,4,R4 Computer Talk - Business It Experts (Bm70),15602,Pakenham,Australia,Horses - Aus/NZ,,Not Available,1000,Good (4),2026-03-05T07:45:00+00:00,9,4,1172264055,2,Innocent Enuff,4,Ryan Houston,Logan McGill,Mornington,62.0,6,m,91.0,92.0,92.0,17.5,60.0,240580.0,40.0,7.0,9.0,8.0,30.0,4.0,3.0,1.0,1.0,0.0,23.0,4.0,0.0,0.0,4.0,1.0,3.0,1.0,8.0,3.0,816841,816841,Leader,6,2,2,4.666666666666667,1.0,4.333333333333333,4.0,0.4,0.4,2.2333333333333334,0.1,2.0,10.5,6,0,6,20.0,9.5,9.0,9.5,10.0,9.5,FLUC2,3,P,finished,0,1,False,True,4,4,1.0,True,True,92.0,0.10241545893719806,0.3345955882352942,0.375,3.0,9-12,sprint,False,0.48560011270477826,2.0,0.2517800486792715,0.10526315789473684,0.2517800486792715,0.14651689078453467,14.651689078453467,0.5,1.0,9.5,-1.0,-1.0
